,company_name,company_year_founded,company_employees,company_hq,company_annual_revenue,industry,company_total_visits,company_bounce_rate,company_pages_per_visit,company_avg_visit_duration_in_seconds,company_3_month_ago,company_2_month_ago,company_1_month_ago,company_demographics_gender_female,company_demographics_gender_male,company_age_distribution_18_24,company_age_distribution_25_34,company_age_distribution_35_44
0,YouTubeLLC,2005,10001,UnitedStatesCaliforniaSanBruno,1.0,ArtsEntertainment,33.4,21.22,11.57,1232.0,33.6,32.7,33.4,40.17,59.83,25.68,29.96,18.53
1,NetflixInc,1997,10001,UnitedStatesCaliforniaLosGatos,1.0,ArtsEntertainment,1.4,34.51,4.36,340.0,1.5,1.4,1.4,47.03,52.97,30.15,30.98,17.02
2,BilibiliInc,2009,5000,ChinaYangpuDistrict,1.0,ArtsEntertainment,966.5,15.29,11.9,1208.0,970.1,938.9,966.5,26.31,73.69,27.17,38.89,19.41
4,IMDb,1990,1000,UnitedStatesWashingtonSeattle,500.0,ArtsEntertainment,497.3,44.58,4.66,198.0,522.8,495.8,497.3,32.85,67.15,25.16,29.70,17.36
5,SpotifyAB,2006,10000,SwedenStockholm,1.0,ArtsEntertainment,491.8,36.13,5.92,491.0,484.2,473.7,491.8,43.04,56.96,30.86,31.30,17.03
6,ArchiveofOurOwn,2008,50,FrancePhoenix,15.0,ArtsEntertainment,354.0,31.17,8.29,988.0,344.2,338.0,354.0,51.16,48.84,38.40,28.80,13.92
7,Pixiv,2005,50,JapanSendagaya,25.0,ArtsEntertainment,318.2,34.84,9.81,648.0,309.9,305.2,318.2,19.79,80.21,31.85,35.96,17.38
8,DisneyPlus,2019,200,UnitedStatesFloridaLakeBuenaVista,1.0,ArtsEntertainment,274.5,33.36,4.41,368.0,295.5,288.2,274.5,46.33,53.67,32.21,30.59,16.63
14,PrimeVideo,2006,10001,UnitedStatesWashingtonSeattle,1.0,ArtsEntertainment,199.7,44.59,2.75,174.0,205.0,194.9,199.7,39.74,60.26,28.29,32.05,17.51
16,HBOMax,2015,10001,UnitedStatesCaliforniaBurbank,1.0,ArtsEntertainment,191.6,33.64,4.12,294.0,224.0,204.8,191.6,46.38,53.62,31.85,30.81,16.82
18,HuluLLC,2007,5000,UnitedStatesCaliforniaSantaMonica,1.0,ArtsEntertainment,186.1,33.12,4.32,694.0,191.8,176.2,186.1,50.86,49.14,28.65,28.18,17.12
21,Hotstar,2015,500,IndiaMumbai,200.0,ArtsEntertainment,179.3,30.22,4.79,414.0,225.2,201.5,179.3,37.13,62.87,41.80,32.80,11.71
22,RumbleInc,2013,200,CanadaToronto,5.0,ArtsEntertainment,172.4,55.78,3.0,186.0,169.1,161.1,172.4,25.46,74.54,22.30,25.51,16.63
23,KinoPoisk,2003,200,RussiaMoscow,25.0,ArtsEntertainment,172.3,39.44,4.21,218.0,186.7,165.2,172.3,40.98,59.02,23.39,37.38,16.57
26,WattpadCorp,2006,200,CanadaToronto,50.0,ArtsEntertainment,146.2,36.68,10.95,979.0,152.6,146.8,146.2,53.81,46.19,41.00,27.63,13.88
27,Xfinity,1981,10001,UnitedStatesPennsylvaniaPhiladelphia,1.0,ArtsEntertainment,139.6,26.78,6.73,394.0,144.6,133.7,139.6,42.91,57.09,14.92,21.51,18.92
29,DailymotionInc,2005,500,FranceParis,500.0,ArtsEntertainment,131.6,55.43,3.23,285.0,130.5,124.9,131.6,36.08,63.92,26.68,29.54,16.82
31,SoundCloud,2007,500,GermanyBerlin,200.0,ArtsEntertainment,126.2,45.14,4.47,424.0,127.7,124.3,126.2,31.37,68.63,31.60,32.29,16.75
33,Genius,2009,200,UnitedStatesNewYorkBrooklyn,25.0,ArtsEntertainment,117.5,61.69,3.37,170.0,113.0,113.3,117.5,44.78,55.22,36.71,29.34,14.78
37,9GAGInc,2008,200,HongKongHongKong,10.0,ArtsEntertainment,113.4,33.75,5.42,540.0,117.5,112.8,113.4,24.66,75.34,26.71,32.43,18.02
42,NPR,1970,1000,UnitedStatesIllinoisSpringfield,500.0,ArtsEntertainment,104.2,70.72,1.87,120.0,111.5,104.4,104.2,42.17,57.83,19.44,25.18,16.89
43,CrunchyrollInc,2006,500,UnitedStatesCaliforniaSanFrancisco,200.0,ArtsEntertainment,103.4,36.77,4.48,612.0,92.2,103.8,103.4,23.77,76.23,40.16,31.32,13.46
45,deviantARTInc,2000,500,UnitedStatesCaliforniaHollywood,25.0,ArtsEntertainment,98.9,32.87,12.15,530.0,100.3,97.6,98.9,28.37,71.63,36.19,30.60,14.99
47,Mediaset,1978,5000,ItalyMilano,1.0,ArtsEntertainment,93.2,46.55,2.8,275.0,93.1,92.3,93.2,34.12,65.88,20.18,23.83,20.37
48,Sky1,1989,10001,UnitedKingdomIsleworth,1.0,ArtsEntertainment,92.5,52.31,2.7,172.0,84.7,84.5,92.5,34.71,65.29,17.55,26.82,18.58
54,WebToonscom,2011,500,UnitedStatesCaliforniaLosAngeles,500.0,ArtsEntertainment,49.2,32.64,8.25,749.0,49.2,46.6,49.2,36.75,63.25,40.67,29.60,13.62
69,Shueisha,1926,500,JapanHitotsubashi,25.0,ArtsEntertainment,23.4,49.01,3.28,178.0,23.0,23.8,23.4,24.18,75.82,26.28,29.58,19.74
121,IssuuInc,2006,500,UnitedStatesCaliforniaPaloAlto,50.0,ArtsEntertainment,37.4,65.49,2.0,132.0,37.2,34.7,37.4,52.76,47.24,23.22,29.49,19.05
127,TVTropes,2005,50,UnitedStatesCaliforniaSanDiego,15.0,ArtsEntertainment,25.0,37.30,7.57,646.0,26.2,25.0,25.0,27.92,72.08,34.65,30.95,14.46
129,OverDriveInc,1986,500,UnitedStatesOhioCleveland,200.0,ArtsEntertainment,20.0,36.94,6.11,281.0,23.0,19.7,20.0,53.61,46.39,20.35,24.84,17.75
131,Spaggiari,1926,200,ItalyParma,5.0,ArtsEntertainment,19.1,19.33,7.82,490.0,20.6,16.0,19.1,54.64,45.36,24.60,26.20,20.26
137,ThriftBooks,2003,1000,UnitedStatesWashingtonTukwila,200.0,ArtsEntertainment,15.2,42.48,5.78,171.0,15.0,13.8,15.2,55.02,44.98,19.35,22.43,16.39
142,VitalSource,1994,500,UnitedStatesNorthCarolinaRaleigh,75.0,ArtsEntertainment,11.3,24.09,19.11,961.0,15.5,13.8,11.3,57.23,42.77,40.72,25.83,14.92
143,RidiBooks,2009,200,KoreaRepublicof,2.0,ArtsEntertainment,11.2,25.11,11.65,719.0,11.9,11.1,11.2,42.33,57.67,30.92,32.25,16.92
